Id,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,MasVnrArea,Foundation,BsmtQual,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SalePrice
1,8450,Inside,CollgCr,1Fam,2Story,7,5,2003,Gable,196,PConc,Gd,856,GasA,856,854,2,1,3,1,0,2,548,2,2008,WD,208500
2,9600,FR2,Veenker,1Fam,1Story,6,8,1976,Gable,0,CBlock,Gd,1262,GasA,1262,0,2,0,3,1,1,2,460,5,2007,WD,181500
3,11250,Inside,CollgCr,1Fam,2Story,7,5,2001,Gable,162,PConc,Gd,920,GasA,920,866,2,1,3,1,1,2,608,9,2008,WD,223500
4,9550,Corner,Crawfor,1Fam,2Story,7,5,1915,Gable,0,BrkTil,TA,756,GasA,961,756,1,0,3,1,1,3,642,2,2006,WD,140000
5,14260,FR2,NoRidge,1Fam,2Story,8,5,2000,Gable,350,PConc,Gd,1145,GasA,1145,1053,2,1,4,1,1,3,836,12,2008,WD,250000
6,14115,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,Gable,0,Wood,Gd,796,GasA,796,566,1,1,1,1,0,2,480,10,2009,WD,143000
7,10084,Inside,Somerst,1Fam,1Story,8,5,2004,Gable,186,PConc,Ex,1686,GasA,1694,0,2,0,3,1,1,2,636,8,2007,WD,307000
8,10382,Corner,NWAmes,1Fam,2Story,7,6,1973,Gable,240,CBlock,Gd,1107,GasA,1107,983,2,1,3,1,2,2,484,11,2009,WD,200000
9,6120,Inside,OldTown,1Fam,1.5Fin,7,5,1931,Gable,0,BrkTil,TA,952,GasA,1022,752,2,0,2,2,2,2,468,4,2008,WD,129900
10,7420,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,Gable,0,BrkTil,TA,991,GasA,1077,0,1,0,2,2,2,1,205,1,2008,WD,118000
11,11200,Inside,Sawyer,1Fam,1Story,5,5,1965,Hip,0,CBlock,TA,1040,GasA,1040,0,1,0,3,1,0,1,384,2,2008,WD,129500
12,11924,Inside,NridgHt,1Fam,2Story,9,5,2005,Hip,286,PConc,Ex,1175,GasA,1182,1142,3,0,4,1,2,3,736,7,2006,New,345000
13,12968,Inside,Sawyer,1Fam,1Story,5,6,1962,Hip,0,CBlock,TA,912,GasA,912,0,1,0,2,1,0,1,352,9,2008,WD,144000
14,10652,Inside,CollgCr,1Fam,1Story,7,5,2006,Gable,306,PConc,Gd,1494,GasA,1494,0,2,0,3,1,1,3,840,8,2007,New,279500
15,10920,Corner,NAmes,1Fam,1Story,6,5,1960,Hip,212,CBlock,TA,1253,GasA,1253,0,1,1,2,1,1,1,352,5,2008,WD,157000
16,6120,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,Gable,0,BrkTil,TA,832,GasA,854,0,1,0,2,1,0,2,576,7,2007,WD,132000
17,11241,CulDSac,NAmes,1Fam,1Story,6,7,1970,Gable,180,CBlock,TA,1004,GasA,1004,0,1,0,2,1,1,2,480,3,2010,WD,149000
18,10791,Inside,Sawyer,Duplex,1Story,4,5,1967,Gable,0,Slab,,0,GasA,1296,0,2,0,2,2,0,2,516,10,2006,WD,90000
19,13695,Inside,SawyerW,1Fam,1Story,5,5,2004,Gable,0,PConc,TA,1114,GasA,1114,0,1,1,3,1,0,2,576,6,2008,WD,159000
20,7560,Inside,NAmes,1Fam,1Story,5,6,1958,Hip,0,CBlock,TA,1029,GasA,1339,0,1,0,3,1,0,1,294,5,2009,COD,139000
21,14215,Corner,NridgHt,1Fam,2Story,8,5,2005,Gable,380,PConc,Ex,1158,GasA,1158,1218,3,1,4,1,1,3,853,11,2006,New,325300
22,7449,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,Gable,0,PConc,TA,637,GasA,1108,0,1,0,3,1,1,1,280,6,2007,WD,139400
23,9742,Inside,CollgCr,1Fam,1Story,8,5,2002,Hip,281,PConc,Gd,1777,GasA,1795,0,2,0,3,1,1,2,534,9,2008,WD,230000
24,4224,Inside,MeadowV,TwnhsE,1Story,5,7,1976,Gable,0,PConc,Gd,1040,GasA,1060,0,1,0,3,1,1,2,572,6,2007,WD,129900
25,8246,Inside,Sawyer,1Fam,1Story,5,8,1968,Gable,0,CBlock,TA,1060,GasA,1060,0,1,0,3,1,1,1,270,5,2010,WD,154000
26,14230,Corner,NridgHt,1Fam,1Story,8,5,2007,Gable,640,PConc,Gd,1566,GasA,1600,0,2,0,3,1,1,3,890,7,2009,WD,256300
27,7200,Corner,NAmes,1Fam,1Story,5,7,1951,Gable,0,CBlock,TA,900,GasA,900,0,1,0,3,1,0,2,576,5,2010,WD,134800
28,11478,Inside,NridgHt,1Fam,1Story,8,5,2007,Gable,200,PConc,Ex,1704,GasA,1704,0,2,0,3,1,1,3,772,5,2010,WD,306000
29,16321,CulDSac,NAmes,1Fam,1Story,5,6,1957,Gable,0,CBlock,TA,1484,GasA,1600,0,1,0,2,1,2,1,319,12,2006,WD,207500
30,6324,Inside,BrkSide,1Fam,1Story,4,6,1927,Gable,0,BrkTil,TA,520,GasA,520,0,1,0,1,1,0,1,240,5,2008,WD,68500
31,8500,Inside,IDOTRR,1Fam,2Story,4,4,1920,Gambrel,0,BrkTil,TA,649,GasA,649,668,1,0,3,1,0,1,250,7,2008,WD,40000
